✅ Weltenbibliothek mit OpenClaw-Integration läuft auf Port 5060
10.64.1.202 - - [27/Feb/2026 23:18:16] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:18:16] "GET /main.dart.js HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:18:16] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:18:16] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:18:17] "GET /service-worker.js HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:18:17] code 404, message File not found
10.64.1.202 - - [27/Feb/2026 23:18:17] "GET /icons/icon-192x192.png HTTP/1.1" 404 -
10.64.1.202 - - [27/Feb/2026 23:18:17] "GET /manifest.json HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:18:17] code 404, message File not found
10.64.1.202 - - [27/Feb/2026 23:18:17] "GET /icons/icon-512x512.png HTTP/1.1" 404 -
10.64.1.202 - - [27/Feb/2026 23:18:17] "GET /flutter_service_worker.js HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:18:18] "GET /index.html HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:18:18] "GET /main.dart.js HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:18:18] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:18:18] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:18:18] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:18:19] "GET /flutter_service_worker.js HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:18:19] "GET /flutter_service_worker.js?v=4037444810 HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:18:19] "GET /index.html HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:18:19] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:18:19] "GET /main.dart.js HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:18:19] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:18:19] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:18:21] "GET /service-worker.js HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:18:21] code 404, message File not found
10.64.1.202 - - [27/Feb/2026 23:18:21] "GET /icons/icon-192x192.png HTTP/1.1" 404 -
10.64.1.202 - - [27/Feb/2026 23:18:21] "GET /flutter.js HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:18:21] code 404, message File not found
10.64.1.202 - - [27/Feb/2026 23:18:21] "GET /icons/icon-512x512.png HTTP/1.1" 404 -
10.64.1.202 - - [27/Feb/2026 23:18:21] "GET /flutter_service_worker.js HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:18:21] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:18:21] "GET /index.html HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:18:21] "GET /main.dart.js HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:18:21] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:18:21] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:18:22] "GET /flutter_service_worker.js HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:18:23] "GET / HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:18:24] "GET / HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:18:24] "GET /assets/fonts/MaterialIcons-Regular.otf HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:18:24] "GET /assets/packages/cupertino_icons/assets/CupertinoIcons.ttf HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:18:24] "GET /audio_player.js HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:18:24] "GET /flutter_service_worker.js?v=4107385240 HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:18:24] "GET /index.html HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:18:24] "GET /main.dart.js HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:18:24] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:18:24] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:18:25] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:18:26] "GET /service-worker.js HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:18:26] code 404, message File not found
10.64.1.202 - - [27/Feb/2026 23:18:26] "GET /icons/icon-192x192.png HTTP/1.1" 404 -
10.64.1.202 - - [27/Feb/2026 23:18:26] "GET /manifest.json HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:18:26] code 404, message File not found
